Exch,ExchType,Token,LastRate,LastQty,TotalQty,High,Low,OpenRate,PClose,AvgRate,Time,BidQty,BidRate,OffQty,OffRate,TBidQ,TOffQ,TickDt,ChgPcnt
B,C,500112,742.25,2,210790,761.8,740.55,761.8,752.35,744.97,12831,5,742,213,742.25,161798,241888,/Date(1738901031000)/,-1.34246027
N,C,5900,1017.35,244,188278,1024.45,1014.55,1019.5,1020.7,1017.64,12827,4,1017.3,10,1017.35,252702,304169,/Date(1738901027000)/,-0.328206122
N,C,2885,1272.15,20,1240755,1283.7,1269.4,1276.15,1281.55,1273.89,12831,80,1271.85,73,1272.15,312143,515516,/Date(1738901031000)/,-0.7334868
N,C,1594,1901.8,509,511805,1923.7,1901,1919.3,1915.65,1910.03,12831,21,1901.6,13,1902.25,138414,180747,/Date(1738901031000)/,-0.7229922
N,C,11483,3356.05,92,64407,3369.95,3350.35,3367,3352.75,3357.43,12831,6,3356.05,12,3357.2,90609,96779,/Date(1738901031000)/,0.09842666
N,C,3045,741.95,835,4522205,759.9,740.8,759.8,752.25,745.71,12831,4827,741.8,566,742,886639,1258801,/Date(1738901031000)/,-1.36922574
N,C,11536,4033.95,56,219472,4090,4028.7,4090,4082.75,4051.8,12831,7,4032.8,4,4033.9,72209,85424,/Date(1738901031000)/,-1.1952728
B,C,500112,742,105,210895,761.8,740.55,761.8,752.35,744.97,12831,201,741.8,280,742.25,159453,241805,/Date(1738901031000)/,-1.37568951
B,C,500696,2354,1,5265,2382.95,2350.4,2382.95,2373.5,2357.43,12831,29,2352.15,110,2353.95,27704,30278,/Date(1738901031000)/,-0.8215715
N,C,2885,1272.15,120,1240875,1283.7,1269.4,1276.15,1281.55,1273.89,12832,78,1271.85,25,1272.15,312382,515409,/Date(1738901032000)/,-0.7334868
N,C,1594,1902.25,242,512047,1923.7,1901,1919.3,1915.65,1910.02,12832,765,1901.55,78,1902.25,138554,181706,/Date(1738901032000)/,-0.6995015
N,C,11483,3357.2,48,64455,3369.95,3350.35,3367,3352.75,3357.43,12832,27,3356.05,3,3357.4,90613,96765,/Date(1738901032000)/,0.132726863
N,C,3045,742,909,4523114,759.9,740.8,759.8,752.25,745.71,12832,4838,741.8,96,742,887672,1256812,/Date(1738901032000)/,-1.362579
N,C,11536,4032.8,43,219515,4090,4028.7,4090,4082.75,4051.8,12832,7,4032.8,52,4033.9,72670,85403,/Date(1738901032000)/,-1.22344
B,C,500112,742.25,33,210928,761.8,740.55,761.8,752.35,744.97,12833,483,741.85,185,742.25,162788,241875,/Date(1738901033000)/,-1.34246027
B,C,500696,2353.95,10,5275,2382.95,2350.4,2382.95,2373.5,2357.42,12833,20,2352.2,32,2353.9,28787,30843,/Date(1738901033000)/,-0.8236781
N,C,2885,1272.15,15,1240890,1283.7,1269.4,1276.15,1281.55,1273.89,12833,35,1272,11,1272.15,312249,516100,/Date(1738901033000)/,-0.7334868
N,C,1594,1901.55,194,512241,1923.7,1901,1919.3,1915.65,1910.02,12833,571,1901.55,106,1902.25,137890,181865,/Date(1738901033000)/,-0.736042559
N,C,11483,3356.15,13,64468,3369.95,3350.35,3367,3352.75,3357.43,12833,18,3356.15,9,3357.35,90703,96583,/Date(1738901033000)/,0.101409294
N,C,3045,742,711,4523825,759.9,740.8,759.8,752.25,745.71,12833,891,741.85,66,742,891369,1257834,/Date(1738901033000)/,-1.362579
B,C,500112,742.25,60,210988,761.8,740.55,761.8,752.35,744.97,12833,569,741.85,125,742.25,166231,241650,/Date(1738901033000)/,-1.34246027
B,C,532215,1017.45,70,5157,1023,1015,1020.55,1020.55,1017.8,12833,250,1016.8,128,1017.5,75071,79746,/Date(1738901033000)/,-0.3037578
N,C,11536,4033,17,219532,4090,4028.7,4090,4082.75,4051.8,12833,33,4033,46,4033.9,72877,85251,/Date(1738901033000)/,-1.21854138
N,C,4963,1269.4,102,564468,1275,1268,1272,1272.4,1270.84,12832,198,1269.05,2,1269.1,256427,307575,/Date(1738901032000)/,-0.2357749
N,C,2885,1272.2,173,1241063,1283.7,1269.4,1276.15,1281.55,1273.89,12834,35,1272,3,1272.15,310509,516061,/Date(1738901034000)/,-0.72958523
B,C,500112,742.3,4,210992,761.8,740.55,761.8,752.35,744.97,12834,569,741.85,256,742.3,169319,241813,/Date(1738901034000)/,-1.33581436
N,C,1594,1902.5,496,512737,1923.7,1901,1919.3,1915.65,1910.01,12834,116,1902.5,20,1902.8,141550,180549,/Date(1738901034000)/,-0.6864511
N,C,11483,3356.15,2,64470,3369.95,3350.35,3367,3352.75,3357.43,12834,16,3356.15,13,3357.45,90686,97235,/Date(1738901034000)/,0.101409294
N,C,3045,741.95,335,4524160,759.9,740.8,759.8,752.25,745.71,12834,1801,741.95,55,742,892999,1257314,/Date(1738901034000)/,-1.36922574
B,C,500112,742.3,256,211248,761.8,740.55,761.8,752.35,744.96,12834,569,741.9,55,742.35,166366,241934,/Date(1738901034000)/,-1.33581436
N,C,11536,4033,15,219547,4090,4028.7,4090,4082.75,4051.8,12835,29,4033,35,4033.9,72872,85803,/Date(1738901035000)/,-1.21854138
N,C,2885,1272,28,1241091,1283.7,1269.4,1276.15,1281.55,1273.89,12835,7,1272,3,1272.15,310485,516465,/Date(1738901035000)/,-0.7451914
N,C,1594,1903,32,512769,1923.7,1901,1919.3,1915.65,1910.01,12835,117,1902.5,50,1903,138270,180259,/Date(1738901035000)/,-0.660350263
N,C,11483,3356.15,3,64473,3369.95,3350.35,3367,3352.75,3357.43,12835,13,3356.15,13,3357.3,90642,97266,/Date(1738901035000)/,0.101409294
B,C,500112,741.9,16,211264,761.8,740.55,761.8,752.35,744.96,12835,141,741.9,45,742.3,166024,242587,/Date(1738901035000)/,-1.38898122
N,C,3045,742,265,4524425,759.9,740.8,759.8,752.25,745.71,12836,937,741.95,67,742,889027,1259872,/Date(1738901036000)/,-1.362579
N,C,1394,2353.1,4,91809,2381.95,2350,2380,2372.7,2356.45,12836,365,2352.5,16,2353.1,85642,68070,/Date(1738901036000)/,-0.8260631
N,C,1333,1755.35,1110,1734811,1757.5,1746.75,1750,1743.85,1752.75,12836,530,1755,104,1755.35,233241,391195,/Date(1738901036000)/,0.659460366
N,C,1594,1902.5,299,513068,1923.7,1901,1919.3,1915.65,1910.01,12836,9,1902.5,118,1903,135740,181994,/Date(1738901036000)/,-0.6864511
B,C,500325,1271.55,90,46607,1284.75,1266.45,1266.45,1281.55,1271.95,12836,19,1271.55,102,1272.25,113802,119740,/Date(1738901036000)/,-0.7803051
B,C,500112,742.3,220,211484,761.8,740.55,761.8,752.35,744.96,12836,628,741.9,23,742.3,165893,238734,/Date(1738901036000)/,-1.33581436
B,C,500696,2353.9,42,5317,2382.95,2350.4,2382.95,2373.5,2357.39,12836,15,2352.15,24,2353.9,28714,30659,/Date(1738901036000)/,-0.825784743
N,C,3045,742.05,1470,4525895,759.9,740.8,759.8,752.25,745.71,12837,890,741.95,3,742,895137,1256205,/Date(1738901037000)/,-1.35593224
N,C,11536,4033.05,8,219555,4090,4028.7,4090,4082.75,4051.8,12837,1,4033.05,36,4033.9,72890,85853,/Date(1738901037000)/,-1.21731675
N,C,2885,1272.15,21,1241112,1283.7,1269.4,1276.15,1281.55,1273.89,12837,7,1272,128,1272.15,313008,517517,/Date(1738901037000)/,-0.7334868
B,C,500209,1902.15,47,14820,1921,1880.2,1880.2,1915.95,1900.76,12837,7,1902.15,19,1903.15,47584,64077,/Date(1738901037000)/,-0.7202693
N,C,1594,1902.55,18,513086,1923.7,1901,1919.3,1915.65,1910.01,12837,403,1902.55,109,1903,137743,181380,/Date(1738901037000)/,-0.683841
N,C,11483,3357.2,8,64481,3369.95,3350.35,3367,3352.75,3357.43,12837,1,3356.15,12,3357.25,90595,97266,/Date(1738901037000)/,0.132726863
N,C,3045,742.05,513,4526408,759.9,740.8,759.8,752.25,745.71,12838,3,742,444,742.05,896756,1262499,/Date(1738901038000)/,-1.35593224
N,C,5900,1017.3,17,188295,1024.45,1014.55,1019.5,1020.7,1017.64,12838,171,1017.3,34,1017.35,255934,302774,/Date(1738901038000)/,-0.33310473
N,C,11536,4033.9,27,219582,4090,4028.7,4090,4082.75,4051.79,12838,13,4033.05,42,4033.9,72226,86003,/Date(1738901038000)/,-1.19649744
N,C,1594,1902.3,121,513207,1923.7,1901,1919.3,1915.65,1910.01,12838,30,1902.55,210,1902.95,137939,180264,/Date(1738901038000)/,-0.6968914
N,C,3045,742,874,4527282,759.9,740.8,759.8,752.25,745.71,12839,731,742,371,742.05,899631,1262334,/Date(1738901039000)/,-1.362579
B,C,500112,742.35,4,211488,761.8,740.55,761.8,752.35,744.96,12838,267,742,39,742.35,165626,234609,/Date(1738901038000)/,-1.32916856
N,C,11536,4033.05,26,219608,4090,4028.7,4090,4082.75,4051.79,12839,7,4033.05,29,4033.9,72261,85990,/Date(1738901039000)/,-1.21731675
N,C,2885,1272.15,17,1241129,1283.7,1269.4,1276.15,1281.55,1273.89,12839,10,1272,116,1272.15,315455,516246,/Date(1738901039000)/,-0.7334868
